state,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
tx,12180132.0,2891964.0,6668699.0,2619469.0,2598250.0,3852809.0,5729073.0,66132.0,234146.0,81105.0,777549.0,884811.0,592834.0,1322039.0,515479.0,211015.0,535984.0,224912.0,793005.0,148205.0,812539.0,1255390.0,1645969.0,168727.0,1187502.0,335253.0,387536.0,9521032.0,1683946.0,103648.0,670747.0,18583.0,182176.0,8125528.0,4054604.0,1742795.0,2405494.0,2885730.0,2254149.0,6225574.0,5954558.0
nj,4323424.0,908427.0,2311796.0,1103201.0,885711.0,1143637.0,2294076.0,8655.0,1412.0,21943.0,178900.0,244016.0,218633.0,464572.0,194123.0,104965.0,235991.0,73327.0,369672.0,94595.0,291299.0,421604.0,656680.0,75538.0,331297.0,149160.0,187042.0,3137067.0,653999.0,19440.0,442005.0,5136.0,65777.0,3609921.0,713503.0,397459.0,753137.0,966353.0,1298048.0,2133148.0,2190276.0
ak,3312.0,953.0,1597.0,762.0,917.0,1147.0,1248.0,134.0,22.0,13.0,248.0,288.0,140.0,327.0,301.0,67.0,81.0,53.0,167.0,39.0,228.0,199.0,320.0,73.0,429.0,93.0,90.0,2411.0,233.0,178.0,250.0,72.0,168.0,2894.0,418.0,305.0,606.0,757.0,691.0,1825.0,1487.0
oh,5333435.0,1275193.0,2783200.0,1275042.0,1247303.0,1762708.0,2323424.0,17109.0,13349.0,28348.0,221689.0,704445.0,233627.0,555316.0,217573.0,85986.0,223904.0,63501.0,271140.0,146252.0,326955.0,451276.0,869761.0,88294.0,480037.0,160463.0,174410.0,4475783.0,644644.0,11665.0,124663.0,2553.0,74127.0,5161795.0,171640.0,388686.0,1242659.0,1325588.0,1101309.0,2662814.0,2670621.0
wv,720844.0,157527.0,388924.0,174393.0,162738.0,265040.0,293066.0,2087.0,20918.0,7575.0,43819.0,52005.0,22719.0,88012.0,26465.0,9995.0,19619.0,7319.0,31151.0,9034.0,39036.0,65555.0,135346.0,8125.0,67101.0,21835.0,43128.0,674291.0,29035.0,1649.0,7937.0,283.0,7649.0,707784.0,13060.0,58317.0,189957.0,180897.0,134146.0,368084.0,352760.0
in,3099155.0,749722.0,1622009.0,727424.0,720626.0,1044700.0,1333829.0,15675.0,5806.0,16562.0,146511.0,542681.0,125183.0,322040.0,145645.0,39288.0,104107.0,38011.0,129658.0,37260.0,192992.0,269869.0,445354.0,41261.0,269517.0,92778.0,118957.0,2682509.0,298199.0,9680.0,67522.0,1913.0,39332.0,2921744.0,177411.0,263544.0,750981.0,764954.0,569954.0,1580990.0,1518165.0
sc,2142641.0,501342.0,1148233.0,493066.0,526150.0,769750.0,846741.0,11388.0,1900.0,18122.0,110906.0,257653.0,78556.0,255412.0,73181.0,33842.0,74732.0,31957.0,106902.0,24712.0,169432.0,179385.0,279179.0,34649.0,237886.0,57043.0,105804.0,1468450.0,601363.0,8521.0,38450.0,1466.0,24391.0,2053839.0,88802.0,216791.0,495221.0,532290.0,396997.0,1055405.0,1087236.0
ca,17137049.0,3785716.0,9435384.0,3915949.0,3517988.0,5327257.0,8291804.0,370337.0,19008.0,107098.0,875777.0,1309718.0,700484.0,1610444.0,630958.0,645009.0,544611.0,296171.0,1299633.0,273688.0,1103544.0,1490064.0,2508289.0,371681.0,1695952.0,557778.0,726805.0,12325135.0,1169430.0,222025.0,2824444.0,81968.0,514047.0,11246339.0,5890710.0,2470663.0,2769433.0,3983464.0,4127773.0,8770147.0,8366902.0
hi,551994.0,121046.0,290597.0,140351.0,121723.0,189671.0,240600.0,5554.0,255.0,6096.0,36528.0,14133.0,17902.0,69873.0,29817.0,11434.0,16027.0,12009.0,25239.0,9667.0,49927.0,13204.0,70594.0,13413.0,109610.0,26210.0,14502.0,138126.0,9256.0,2017.0,240500.0,46557.0,115538.0,502581.0,49413.0,53372.0,101462.0,138922.0,137192.0,278280.0,273714.0
ny,9031506.0,2070753.0,4797320.0,2163433.0,1888008.0,2643960.0,4499538.0,25433.0,5159.0,39829.0,368589.0,444826.0,323019.0,904404.0,328117.0,273314.0,447962.0,190513.0,615720.0,142091.0,504530.0,960500.0,1639285.0,168540.0,752874.0,363932.0,532869.0,6489908.0,1501801.0,57586.0,809148.0,12649.0,160414.0,7629423.0,1402083.0,890476.0,1645663.0,2045044.0,2379570.0,4376152.0,4655354.0
pr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
az,2824450.0,653616.0,1528374.0,642460.0,589520.0,1028594.0,1206336.0,28339.0,12628.0,20559.0,164776.0,174382.0,98984.0,320386.0,102782.0,51208.0,165518.0,55220.0,158665.0,29767.0,248498.0,232540.0,393390.0,63487.0,296430.0,79812.0,127079.0,2362296.0,166673.0,114057.0,111100.0,7657.0,62667.0,2002756.0,821694.0,358676.0,556820.0,711288.0,544050.0,1453801.0,1370649.0
ga,4371043.0,1014922.0,2431771.0,924350.0,1011010.0,1493489.0,1866544.0,24200.0,5278.0,19158.0,201093.0,409953.0,218118.0,498340.0,220248.0,121034.0,167648.0,68626.0,280712.0,80325.0,341156.0,393184.0,521586.0,55111.0,433630.0,113357.0,198286.0,2653402.0,1453462.0,14185.0,188921.0,3710.0,57363.0,4070338.0,300705.0,460700.0,943981.0,1045799.0,905641.0,2156621.0,2214422.0
de,437535.0,99973.0,229625.0,107937.0,100404.0,134052.0,203079.0,2654.0,135.0,2311.0,23415.0,28410.0,12261.0,51357.0,17675.0,5162.0,34463.0,5574.0,26226.0,6613.0,28856.0,36020.0,74366.0,8817.0,40624.0,12586.0,20010.0,304656.0,104370.0,1899.0,19025.0,366.0,7219.0,403667.0,33868.0,40010.0,91015.0,104422.0,102115.0,210325.0,227210.0
va,3828056.0,852542.0,2055294.0,920220.0,835770.0,1156202.0,1836084.0,13920.0,6192.0,18527.0,207600.0,240075.0,111152.0,409519.0,120403.0,74490.0,141442.0,56946.0,430371.0,78955.0,246149.0,386371.0,497218.0,68634.0,354657.0,164922.0,200513.0,2664981.0,801855.0,15806.0,266373.0,3809.0,75232.0,3534635.0,293421.0,368879.0,763627.0,874406.0,968602.0,1884534.0,1943522.0
fl,8686214.0,1919838.0,4649875.0,2116501.0,1973672.0,3297384.0,3415158.0,74122.0,4879.0,30873.0,541504.0,371836.0,346635.0,1114809.0,289684.0,145946.0,385889.0,187436.0,573096.0,114963.0,686760.0,640716.0,1220813.0,250747.0,1021104.0,282910.0,401492.0,6662340.0,1555542.0,37900.0,280818.0,10261.0,139353.0,6623480.0,2062734.0,1090182.0,1797736.0,2126134.0,1752324.0,4329947.0,4356267.0
