,CountryName,RegionName,PredictorName,Cumul-7DMA-MAE-per-100K,PredictorRank
5059,United States,Hawaii,LSTM,36.62844810717648,1.0
5059,United States,Hawaii,Linear,171.9422052900106,2.0
5059,United States,Hawaii,mlp_model_0110_6,571.0736565610462,3.5
5059,United States,Hawaii,mlp_model_1110_2,571.0736565610722,3.5
5059,United States,Hawaii,mlp_model_1110_6,571.4945411571379,5.0
5059,United States,Hawaii,mlp_model_0110_2,571.8767229740204,6.0
5059,United States,Hawaii,mlp_model_1110,572.4353303881167,7.0
5059,United States,Hawaii,mlp_model_0110,379593.38801538676,8.0
5081,United States,Idaho,mlp_model_0110_6,73.15582525981732,1.0
5081,United States,Idaho,mlp_model_1110_2,130.64941628181154,2.0
5081,United States,Idaho,mlp_model_1110,164.61143674115877,3.0
5081,United States,Idaho,Linear,231.29945646922724,4.0
5081,United States,Idaho,mlp_model_1110_6,241.57486387411146,5.0
5081,United States,Idaho,mlp_model_0110_2,297.4309840703688,6.0
5081,United States,Idaho,LSTM,330.68981589816434,7.0
5081,United States,Idaho,mlp_model_0110,883.7251598147865,8.0
5103,United States,Illinois,mlp_model_0110_2,178.87265362787682,1.0
5103,United States,Illinois,mlp_model_1110_6,198.4728259527574,2.0
5103,United States,Illinois,Linear,262.6890048260306,3.0
5103,United States,Illinois,mlp_model_1110,276.9993706523768,4.0
5103,United States,Illinois,mlp_model_0110_6,279.0398457149267,5.0
5103,United States,Illinois,LSTM,325.4044527285204,6.0
5103,United States,Illinois,mlp_model_1110_2,389.3277690864933,7.0
5103,United States,Illinois,mlp_model_0110,3576.5516264722496,8.0
5125,United States,Indiana,mlp_model_0110_6,161.07111312478747,1.0
5125,United States,Indiana,Linear,301.24361328481075,2.0
5125,United States,Indiana,LSTM,365.17339187974505,3.0
5125,United States,Indiana,mlp_model_0110_2,478.3943368561872,4.0
5125,United States,Indiana,mlp_model_1110,513.7539651149159,5.0
5125,United States,Indiana,mlp_model_1110_2,643.4531314949435,6.0
5125,United States,Indiana,mlp_model_1110_6,644.2851664945463,7.0
5125,United States,Indiana,mlp_model_0110,4281.653199953957,8.0
5147,United States,Iowa,mlp_model_1110_6,83.10203736863726,1.0
5147,United States,Iowa,mlp_model_1110,134.53748023812975,2.0
5147,United States,Iowa,mlp_model_1110_2,186.65973040151383,3.0
5147,United States,Iowa,Linear,320.0663542503047,4.0
5147,United States,Iowa,LSTM,392.1498791641566,5.0
5147,United States,Iowa,mlp_model_0110_6,825.3908377393542,6.0
5147,United States,Iowa,mlp_model_0110_2,920.4822539154383,7.0
5147,United States,Iowa,mlp_model_0110,6344.747994934305,8.0
